Model,Type,Color,Price,Description,Image
Toyota Vios,Sedan,White,650000,Good condition car,vios.jpg
Honda Civic,Sedan,Black,950000,With updated papers,civic.jpg
Mitsubishi Mirage,Hatchback,Red,550000,Fuel efficient,mirage.jpg
Hyundai Accent,Sedan,Blue,720000,Well maintained,accent.jpg
Ford Ranger,Pickup,Gray,1200000,Strong engine,ranger.jpg
Nissan Navara,Pickup,Orange,1180000,4x4 variant,navara.jpg
Suzuki Ertiga,MPV,White,880000,Family car,ertiga.jpg
Kia Sportage,SUV,Black,1350000,Top of the line,sportage.jpg
Toyota Fortuner,SUV,Silver,1800000,Diesel engine,fortuner.jpg
Isuzu mu-X,SUV,Brown,1750000,7-seater,mux.jpg
Chevrolet Trailblazer,SUV,Red,1650000,Powerful SUV,trailblazer.jpg
Mazda 3,Sedan,Gray,1050000,Premium feel,mazda3.jpg
Subaru Forester,SUV,Green,1550000,AWD system,forester.jpg
Toyota Hilux,Pickup,White,1300000,Reliable workhorse,hilux.jpg
Honda BR-V,MPV,Black,980000,Affordable 7-seater,brv.jpg
Mitsubishi Montero,SUV,Silver,1700000,Off-road ready,montero.jpg
Ford Everest,SUV,Blue,1850000,Spacious interior,everest.jpg
Suzuki Swift,Hatchback,Yellow,680000,Sporty design,swift.jpg
Nissan Terra,SUV,Brown,1600000,Strong body,terra.jpg
Hyundai Tucson,SUV,Gray,1450000,Comfortable ride,tucson.jpg
Kia Picanto,Hatchback,Red,590000,Compact car,picanto.jpg
Toyota Innova,MPV,White,1150000,Best seller,innova.jpg
Honda CR-V,SUV,Silver,1750000,Modern design,crv.jpg
Mazda CX-5,SUV,Black,1600000,Stylish crossover,cx5.jpg
Chevrolet Spark,Hatchback,Blue,570000,City car,spark.jpg
Mitsubishi Strada,Pickup,Orange,1280000,Tough built,strada.jpg
Hyundai Starex,Van,White,1450000,Good for business,starex.jpg
Ford Mustang,Coupe,Yellow,2800000,Muscle car,mustang.jpg
Nissan Almera,Sedan,Gray,670000,Economic sedan,almera.jpg
Toyota Corolla Altis,Sedan,Black,950000,Trusted brand,altis.jpg
